stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code,区名
S280100064000100,緑が丘１丁目,34.6810704062034,135.114515099904,Z006940,0,,,,,,,１,須磨区
S280100064000200,緑が丘１丁目,34.6809575881214,135.115417804051,Z006940,0,,,,,,,２,須磨区
S280100064100100,星城高校,34.6811572308851,135.116181625876,Z006950,0,,,,,,,１,須磨区
S280100064200100,緑が丘２丁目,34.6817735447699,135.120070179568,Z006960,0,,,,,,,１,須磨区
S280100064300100,機動隊前,34.6806973071359,135.121320092885,Z006970,0,,,,,,,１,須磨区
S280100064300200,機動隊前,34.680610511421,135.121285375004,Z006970,0,,,,,,,２,須磨区
S280100064400100,野路,34.6803327873459,135.122639432473,Z006980,0,,,,,,,１,須磨区
S280100064500100,ひよどり台５丁目,34.7020316321111,135.120798893053,Z006990,0,,,,,,,１,北区
S280100064500200,ひよどり台５丁目,34.7023354264371,135.121389113285,Z006990,0,,,,,,,２,北区
S280100064600100,シルバーカレッジ前,34.7022745986204,135.116875617383,Z007000,0,,,,,,,１,北区
S280100064600200,シルバーカレッジ前,34.7023440363335,135.116945054326,Z007000,0,,,,,,,２,北区
S280100064700100,清玄町南口,34.6524793752985,135.089448380074,Z007030,0,,,,,,,１,垂水区
S280100064800100,清玄町,34.6531737995498,135.092850844371,Z007040,0,,,,,,,１,垂水区
S280100064900100,多井畑南町,34.6571577627642,135.09500333868,Z007050,0,,,,,,,１,須磨区
S280100065000100,多井畑厄神南,34.6601782596398,135.095176861224,Z007060,0,,,,,,,,須磨区
S280100065100100,多井畑厄神裏参道,34.663320287837,135.096357247404,Z007070,0,,,,,,,,須磨区
S280100065200200,多井畑東町集会所前,34.6640320565742,135.09875286335,Z007020,0,,,,,,,,須磨区
S280100065200100,多井畑東町集会所前,34.6638931701538,135.098023761212,Z007020,0,,,,,,,,須磨区
S280100065300200,多井畑東町,34.6663669251462,135.10194699175,Z007010,0,,,,,,,,須磨区
S280100065300100,多井畑東町,34.6656291472078,135.101287339809,Z007010,0,,,,,,,,須磨区
S280100065400100,楠丘町２丁目,34.7217273501615,135.242732679993,Z007080,0,,,,,,,１,灘区
S280100065500100,石屋川,34.7209549156769,135.245996311854,Z007090,0,,,,,,,１,灘区
S280100065600300,石屋川車庫前,34.7188023396581,135.243461861633,Z007100,0,,,,,,,３,灘区
S280100065600400,石屋川車庫前,34.7188804508093,135.243079947329,Z007100,0,,,,,,,,灘区
S280100065800100,琵琶町３丁目,34.711771753462,135.235546072641,Z000020,0,,,,,,,１,灘区
S280100065800200,琵琶町３丁目,34.7112943774507,135.235858557807,Z000020,0,,,,,,,２,灘区
